Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Brentwood and Ongar;Essex South West;74303;9;2897;1204;1167;3214;814;0;0;705;Reform
Bridgwater;Somerset West and Barnstaple;73137;10;2384;1439;1127;3129;910;0;338;673;Reform
Bridlington and the Wolds;East Yorkshire;73298;5;2795;1459;720;3507;822;0;0;698;Reform
Brigg and Immingham;Lincolnshire North;74009;5;2683;1709;666;3331;921;0;0;690;Reform
Brighton Kemptown and Peacehaven;South Coast;69586;12;1528;2301;825;1540;2940;0;0;865;Green
Brighton Pavilion;South Coast;74164;12;590;1538;348;1004;5931;0;0;589;Green
Bristol Central;Avon North;62735;10;264;1349;252;622;7127;0;0;387;Green
Bristol East;Avon South;75915;10;792;2030;512;1313;4485;0;0;868;Green
Bristol North East;Avon North;70076;10;1006;2206;489;2338;2965;0;0;995;Green
Bristol North West;Avon North;74870;10;1141;2634;852;1706;2879;0;0;788;Green
Bristol South;Avon South;75534;10;837;1955;559;2294;3475;0;0;879;Green
Broadland and Fakenham;Norfolk North;76859;9;2698;1612;989;2872;1117;0;0;712;Reform
Bromley and Biggin Hill;Bexley and Bromley;71209;11;3041;1848;875;2355;1181;0;0;699;CON
Bromsgrove;Worcestershire;76469;7;2853;1434;1119;2866;871;0;72;784;Reform
Broxbourne;Hertfordshire East;75185;9;2638;1536;788;3172;1034;0;0;831;Reform
Broxtowe;Nottinghamshire South;71925;8;1948;2338;955;2332;1811;0;168;448;LAB
Buckingham and Bletchley;Buckinghamshire North;74469;12;2741;1938;808;2503;1241;0;0;768;CON
Buckinghamshire Mid;Buckinghamshire South;74687;12;2830;1142;2047;2260;1032;0;0;688;CON
Burnley;Lancashire East;74952;4;1553;1875;1520;2547;1745;0;0;759;Reform
Burton and Uttoxeter;Staffordshire South;78158;7;2470;1697;478;3262;1015;0;1079;0;Reform
Bury North;Manchester North East;77764;4;2034;2306;742;2523;1732;0;460;203;Reform
Bury South;Manchester North East;75280;4;1802;2537;660;2316;1880;0;483;322;LAB
Bury St Edmunds and Stowmarket;Suffolk West and Ipswich;77598;9;1932;1659;943;2755;1970;0;0;741;Reform
Calder Valley;Huddersfield and Halifax;77289;5;2000;2749;759;2026;1793;0;0;672;LAB
Camborne and Redruth;Cornwall;74420;10;1757;2258;1034;2816;1401;0;0;735;Reform
Cambridge;Cambridgeshire South;70316;9;931;2567;1199;951;3622;0;341;389;Green
Cambridgeshire North East;Cambridgeshire North;71509;9;2736;1031;790;3708;745;0;164;825;Reform
