Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Norfolk South West;Norfolk;9;1988;1466;768;3020;1004;000;1608;147;Reform
Normanton and Hemsworth;West Yorkshire;5;1063;2327;467;3957;1387;000;000;799;Reform
Northampton North;Northamptonshire;8;1695;2491;685;2421;1952;000;447;309;LAB
Northampton South;Northamptonshire;8;2032;2136;1023;2633;1775;000;000;401;Reform
Northamptonshire South;Northamptonshire;8;2674;1774;1056;2770;1153;000;070;503;Reform
Northumberland North;Northumberland;3;1940;2511;1151;2170;1294;000;000;935;LAB
Norwich North;Norfolk;9;1649;2392;682;2430;1909;000;000;938;Reform
Norwich South;Norfolk;9;868;2234;656;1972;3433;000;000;836;Green
Nottingham East;Nottinghamshire;8;864;2734;450;1569;3513;000;644;226;Green
Nottingham North and Kimberley;Nottinghamshire;8;1425;2369;450;2913;2101;000;000;743;Reform
Nottingham South;Nottinghamshire;8;1251;2407;566;2317;2610;000;606;243;Green
Nuneaton;Warwickshire;7;1981;1692;706;3331;1502;000;787;000;Reform
Old Bexley and Sidcup;Bexley;11;2919;1646;717;2888;1017;000;000;813;CON
Oldham East and Saddleworth;Eastern Manchester;4;1474;1948;822;2587;1739;000;1018;412;Reform
Oldham West, Chadderton and Royton;Eastern Manchester;4;1024;1941;441;2581;2073;000;000;1941;Reform
Orpington;Bromley;11;2957;1592;1083;2573;1005;000;000;791;CON
Ossett and Denby Dale;West Yorkshire;5;1966;2198;768;2987;1520;000;000;561;Reform
Oxford East;Oxfordshire;12;965;2478;716;1271;3268;000;473;828;Green
Oxford West and Abingdon;Oxfordshire;12;1527;1049;3209;1500;1981;000;000;734;LIB
Peckham;Southwark;11;663;3014;465;1279;3913;000;000;665;Green
Pendle and Clitheroe;Lancashire;4;2795;1808;628;2692;1186;000;080;812;CON
Penistone and Stocksbridge;South Yorkshire;5;2079;2261;864;2746;1461;000;000;589;Reform
Penrith and Solway;Cumbria;4;2092;2150;1161;2771;1387;000;000;440;Reform
Peterborough;Cambridgeshire;9;2528;1498;492;2696;1344;000;1328;115;Reform
Plymouth Moor View;Devon;10;1872;1807;735;3670;1285;000;000;632;Reform
Plymouth Sutton and Devonport;Devon;10;1210;2362;553;2842;1997;000;242;794;Reform
Pontefract, Castleford and Knottingley;West Yorkshire;5;1147;2300;462;3870;1386;000;000;836;Reform
